"iid","gender","wave","match","dec_o","age","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","dec","attr","sinc","intel","fun","amb","shar","prob"
1,0,1,0,0,21,3,15,20,20,15,15,15,1,6,9,7,7,6,5,6
1,0,1,0,0,21,3,15,20,20,15,15,15,1,7,8,7,8,5,6,5
1,0,1,1,1,21,3,15,20,20,15,15,15,1,5,8,9,8,5,7,NA
1,0,1,1,1,21,3,15,20,20,15,15,15,1,7,6,8,7,6,8,6
1,0,1,1,1,21,3,15,20,20,15,15,15,1,5,6,7,7,6,6,6
1,0,1,0,1,21,3,15,20,20,15,15,15,0,4,9,7,4,6,4,5
1,0,1,0,0,21,3,15,20,20,15,15,15,1,7,6,7,4,6,7,5
1,0,1,0,0,21,3,15,20,20,15,15,15,0,4,9,7,6,5,6,7
1,0,1,1,1,21,3,15,20,20,15,15,15,1,7,6,8,9,8,8,7
1,0,1,0,0,21,3,15,20,20,15,15,15,1,5,6,6,8,10,8,6
2,0,1,0,0,24,4,45,5,25,20,0,5,0,5,7,8,4,6,3,4
2,0,1,0,0,24,4,45,5,25,20,0,5,0,8,5,6,6,9,6,3
2,0,1,0,1,24,4,45,5,25,20,0,5,0,5,8,9,6,3,4,7
2,0,1,1,1,24,4,45,5,25,20,0,5,1,7,9,7,6,5,7,8
2,0,1,0,1,24,4,45,5,25,20,0,5,0,6,8,7,9,7,8,6
2,0,1,0,1,24,4,45,5,25,20,0,5,0,8,7,8,3,6,2,5
2,0,1,0,0,24,4,45,5,25,20,0,5,1,7,5,9,6,7,9,7
2,0,1,0,1,24,4,45,5,25,20,0,5,0,5,8,7,5,9,5,6
2,0,1,1,1,24,4,45,5,25,20,0,5,1,7,6,8,9,4,5,6
2,0,1,0,0,24,4,45,5,25,20,0,5,1,6,7,8,7,9,8,7
3,0,1,0,0,25,4,35,10,35,10,10,0,0,7,9,10,7,8,9,7
3,0,1,0,0,25,4,35,10,35,10,10,0,0,9,7,9,8,9,7,7
3,0,1,0,1,25,4,35,10,35,10,10,0,0,7,9,9,7,9,7,7
3,0,1,0,1,25,4,35,10,35,10,10,0,0,9,7,9,7,9,7,7
3,0,1,0,1,25,4,35,10,35,10,10,0,0,9,10,10,10,10,10,NA
3,0,1,0,1,25,4,35,10,35,10,10,0,0,8,10,10,7,9,9,NA
3,0,1,0,0,25,4,35,10,35,10,10,0,0,8,9,10,7,7,9,7
3,0,1,0,0,25,4,35,10,35,10,10,0,0,7,9,9,8,9,7,7
3,0,1,0,1,25,4,35,10,35,10,10,0,0,9,9,9,9,9,9,7
3,0,1,0,0,25,4,35,10,35,10,10,0,0,8,7,9,7,9,7,7
4,0,1,0,0,23,1,20,20,20,20,10,10,0,4,10,8,5,8,7,7
4,0,1,0,0,23,1,20,20,20,20,10,10,0,8,7,8,10,7,8,1
4,0,1,0,1,23,1,20,20,20,20,10,10,0,4,7,8,8,6,7,1
4,0,1,1,1,23,1,20,20,20,20,10,10,1,8,10,7,10,7,10,10
4,0,1,0,1,23,1,20,20,20,20,10,10,0,6,9,8,9,8,9,7
4,0,1,0,1,23,1,20,20,20,20,10,10,0,5,10,8,4,8,2,3
4,0,1,0,1,23,1,20,20,20,20,10,10,0,7,10,10,7,10,5,1
4,0,1,0,0,23,1,20,20,20,20,10,10,0,5,9,9,5,9,7,6
4,0,1,1,1,23,1,20,20,20,20,10,10,1,9,8,10,10,7,8,8
4,0,1,0,0,23,1,20,20,20,20,10,10,1,8,9,10,10,8,8,8
5,0,1,0,0,21,7,20,5,25,25,10,15,0,5,8,8,2,2,2,5
5,0,1,0,0,21,7,20,5,25,25,10,15,0,8,6,6,5,5,5,4
5,0,1,0,1,21,7,20,5,25,25,10,15,0,4,6,8,8,6,5,5
5,0,1,1,1,21,7,20,5,25,25,10,15,1,8,5,5,7,7,9,2
5,0,1,0,0,21,7,20,5,25,25,10,15,0,6,7,7,5,4,8,4
5,0,1,0,0,21,7,20,5,25,25,10,15,1,5,6,7,5,7,8,3
5,0,1,0,0,21,7,20,5,25,25,10,15,1,6,6,8,5,5,6,3
5,0,1,0,0,21,7,20,5,25,25,10,15,1,5,5,7,6,7,5,4
5,0,1,1,1,21,7,20,5,25,25,10,15,1,7,5,7,8,7,9,4
5,0,1,0,0,21,7,20,5,25,25,10,15,1,9,6,7,9,6,5,3
6,0,1,0,0,23,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6
6,0,1,0,0,23,4,10,25,20,25,5,15,1,6,9,9,6,8,2,6
6,0,1,0,1,23,4,10,25,20,25,5,15,0,4,7,9,4,3,2,2
6,0,1,1,1,23,4,10,25,20,25,5,15,1,8,6,7,8,2,8,4
6,0,1,0,1,23,4,10,25,20,25,5,15,0,5,4,8,8,4,2,3
6,0,1,0,1,23,4,10,25,20,25,5,15,0,3,7,6,1,1,1,2
6,0,1,0,0,23,4,10,25,20,25,5,15,1,8,8,8,8,3,4,7
6,0,1,0,0,23,4,10,25,20,25,5,15,0,4,8,9,2,8,3,5
6,0,1,1,1,23,4,10,25,20,25,5,15,1,7,6,8,8,6,9,6
